Hypernym_Id,Hypernym
1030,king
1031,organism
1032,plum
1033,condensation
1034,iris
1035,indeed
1036,childhood
1037,stop
1038,chat
1039,jeez
1040,noise
1041,start
1042,anonymous
1043,warrant
1044,expectation
1045,ideal
1046,century
1047,function
1048,background
1049,anchor
1050,setting
1051,calculus
1052,pottery
1053,notes
1054,werewolf
1055,score
1056,earth
1057,tension
1058,magazine
1059,world
1060,staff
1061,skeeter
1062,weather
1063,cooperation
1064,layering
1065,credentials
1066,statement
1067,shift
1068,homer
1069,finally
1070,anything
1071,responsibility
1072,seizure
1073,floor
1074,spa
1075,activator
1076,crossbones
1077,preservation
1078,quality
1079,still
1080,spirit
1081,west
1082,review
1083,nozzle
1084,proposition
1085,once
1086,yin
1087,rangers
1088,buffalo
1089,desktop
1090,progress
1091,interview
1092,boss
1093,defender
1094,candidate
1095,motto
1096,decision
1097,outfit
1098,house
1099,deployment
1100,habitat
1101,banned
1102,worth
1103,respect
1104,announce
1105,basement
1106,college
1107,debate
1108,gravy
1109,reads
1110,removals
1111,java
1112,viewing
1113,hilarity
1114,transition
1115,march
1116,cooper
1117,pedal
1118,dinner
1119,piece
1120,gentry
1121,fetus
1122,nit
1123,frank
1124,monk
1125,shirt
1126,mentoring
1127,transistor
1128,subject
1129,finale
1130,right
1131,hydrocarbon
1132,nutrient
1133,photo
1134,tax
1135,polyethylene
1136,glue
1137,songs
1138,timeline
1139,tea
1140,deck
1141,glass
1142,google
1143,litigator
1144,patience
1145,trip
1146,tonne
1147,alternate
1148,mirth
1149,cloning
1150,abuse
1151,tissue
1152,consultant
1153,error
1154,receiver
1155,persecution
1156,client
1157,potato
1158,ecology
1159,ear
1160,charge
1161,star
1162,infection
1163,formation
1164,mineral
1165,wing
1166,generation
1167,pen
1168,spending
1169,provider
1170,guideline
1171,heel
1172,ester
1173,eating
1174,band
1175,implantation
1176,sum
1177,chersonese
1178,red
1179,bed
1180,portfolio
1181,requirement
1182,rise
1183,tavern
1184,did
1185,baby
1186,theme
1187,challenge
1188,cyclops
1189,hyperbola
1190,paint
